X	Y	BRIDGE_ID	BR_NAME	bridge	BRGY	MUN
123.189716458384	9.09716647419409	B00011NR	Bangcolotan Bridge		Mayabon	Zamboanguita
123.186498808187	9.09638425502917	B00012NR	Maglinte Bridge		Mayabon	Zamboanguita
123.307923873093	9.30200790766509	B00069NR	Banica Bridge № 1		Calindagan	Dumaguete
123.218757892638	10.0004358280634	B00121NR	Malaiba Bridge		San Jose	La Libertad
122.843046070245	9.35027707491747	B00036NR	Pagtigaon Bridge		Caranoche	Santa Catalina
123.106186698351	9.64497285624066	B00060NR	Alangilanan Bridge		Alangilanan	Manjuyod
123.260859746252	9.37831111509912	B00075NR	Ajong Bridge		Ajong	Sibulan
123.29745160063	10.3625939858206	B00061NR	Ulay Bridge		Ulay	Vallehermoso
122.823898883652	9.4195337337121	B00414NR	Milagrosa Bridge		Nangka	Bayawan
123.186714603193	9.96221598921936	B00115NR	Panlaya-an Bridge		Bae	Jimalalud
123.24191783751	10.0490856209348	B00461NR	Martilo Bridge		Martilo	Lalibertad
123.142628290132	9.75012883393111	B00093NR	Talaptap Bridge		Cabugan	Bindoy
122.730343708376	9.38154062744201	B00041NR	Taloto-an Bridge		Pagatban	Bayawan
123.146053968215	9.51021945493897	B00086NR	Tanjay Bridge		Poblacion 1	Tanjay
123.040748894529	9.82228603080914	B00516NR	Sooc Bridge		Sooc	Ayungon
122.890646151129	9.36755386581715	B00448NR	Pinakopakan Bridge		Kabulakan	Santa Catalina
123.176391471035	9.94582436066677	B00462NR	Jimamala Bridge		Lutay	Tayasan
122.870390315635	9.32527361599549	B00034NR	Sta. Catalina Bridge		Poblacion	Santa Catalina
122.895902792155	9.1855583988784	B00027NR	San Francisco Bridge		San Francisco	Santa Catalina
123.30590303913	9.33272299023544	B00071NR	Dumaguete Airport Road Bridge		Bantayan	Dumaguete
122.935133098004	9.10059416791576	B00022NR	Giligaon Bridge		Giligaon	Siaton
123.289521805175	9.34174728520978	B00072NR	Boloc-boloc Bridge		Maslog;Boloc-boloc	Sibulan
123.322952581167	10.2642546385099	B00138NR	Hiba-iyo Bridge		Hibaiyo	Guihulngan
122.762021717197	9.370818241082	B00038NR	Camaya-an Bridge		Malabugas	Bayawan
123.143194124541	9.85671009519623	B00104NR	Ayungon Bridge		Poblacion	Ayungon
123.02061148431	9.05094752929004	B00019NR	Mantuyop Bridge		Mantuyop	Siaton
122.975072424869	9.06467158134703	B00020NR	Maloh Bridge		Maloh	Siaton
123.304876479224	9.30213151769226	B00070NR	Banica Bridge № 2		Tabuc-tubig	Dumaguete
123.319715760168	10.2453055666509	B00137NR	Hilaitan Bridge		Hilaitan	Guihulngan
122.885938476482	9.36097907686975	B00449NR	Maihaw Bridge		Kabulakan	Santa Catalina
123.210672342	10.3825162642105	B00065NR	Linothangan Bridge		Linothangan	Canlaon
122.888384233186	9.59487790548762	B00537NR	Niludhan Bridge		Dawis	Bayawan
123.143610803938	9.66902239641058	B00286NR	Manjuyod Bridge		Campuyo	Manjuyod
122.887649226945	9.21428191164853	B00028NR	Pamonacan Bridge		Manalongon	Santa Catalina
123.099543719336	9.45639308132844	B00453NR	Pinanlayaan Bridge		Datagon	Pamplona
123.259375053462	9.27142370905765	B00452NR	Balayag Manok Bridge № 2		Isugan	Bacong
123.24302811159	9.41222274062454	B00078NR	Ayuquitan Bridge		Poblacion	San Jose
123.240346377789	9.15850189414812	B00005NR	Cuadra Bridge		Maayong Tubig	Dauin
123.201526575399	9.98260833102456	B00119NR	Jimalalod Bridge		Poblacion	Jimalalud
122.92365357819	9.65197575012569	B00479NR	Tabuay Bridge		Dagbasan	Mabinay
123.0113521718	9.64140599134384	B00052NR	Mabaja Bridge		Mabaja;Mayaposi	Mabinay
122.930731547778	9.7292013303614	B00055NR	Namangyan Bridge		Poblacion;Abis	Mabinay
122.714686848312	9.38665183241834	B00042NR	Pagatban Bridge		Pagatban	Bayawan
123.167618986797	9.92121587275287	B00111NR	Tibyawan Bridge		Poblacion	Tayasan
123.068414044768	9.07034094169424	B00016NR	Sac-sac Bridge		Malabuhan	Siaton
122.918497068533	9.13233492207008	B00465NR	Bonawon Bridge		Bonawon	Siaton
123.185716547152	9.47666206611233	B00084NR	Buswang Bridge		Buswang	Amlan
123.233331175477	10.0281844661296	B00513NR	La Libertad Bridge		Poblacion	La Libertad
122.87803459395	9.34162914207047	B00450NR	Malapagyao Bridge		San Jose	Santa Catalina
122.878786130824	9.23740241155323	B00030NR	Litid Bridge		Nagbalaye	Santa Catalina
123.172879171787	9.09612773815061	B00013NR	Mayabon Bridge		Mayabon	Zamboanguita
123.15317393551	9.91032221729437	B00108NR	Hibolangan Bridge № 1		Bonga	Tayasan
122.945128525929	9.07676653478031	B00021NR	Cabangahan Bridge		Cabangahan	Siaton
122.91032929327	9.14789054370399	B00025NR	Lico-lico Bridge		Lico-lico	Siaton
122.913702437186	9.82368809096794	B00059NR	Naiba Bridge		Hagtu	Mabinay
123.325021123781	10.3599577245339	B00140NR	Malapay Bridge		Bagawines	Vallehermoso
123.19981620298	9.47060911832332	B00083NR	Bio-os Bridge		Bio-os	Amlan
123.192936789375	9.97104515542873	B00463NR	Pangaloan Bridge		Pangaloan	Jimalalud
123.273387360807	9.36226428996231	B00074NR	Ocoy Bridge		Mainit	Sibulan
123.280997606408	10.1688929924434	B00132NR	Bitoclan Bridge		Calamba	Guihulngan
123.14441622961	9.77865799887665	B00097NR	Tinaogan Bridge		Tinaogan	Bindoy
123.179932035102	9.48371063772363	B00085NR	Polo Bridge		Polo	Tanjay
122.938499717747	9.73690686647504	B00056NR	Abis Bridge		Abis	Mabinay
122.742297997611	9.37585021067687	B00039NR	Nalundan Bridge		Pagatban	Bayawan
122.85078944184	9.34808542545385	B00035NR	Sicopong Bridge		Poblacion	Santa Catalina
123.144393568684	9.76651275897386	B00096NR	Domolog Bridge		Dumolog	Bindoy
122.801322904844	9.36880608953426	B00037NR	Bayawan Bridge		Banga	Bayawan
