X	Y	REGION	PROVINCE	DEO	ROAD_NAME	BRIDGE_ID	BR_NAME	BR_LENGTH	BR_TYPE1	YR_CONST	ACTUAL_YR	BR_WIDTH	LOAD_LIMIT	HT_OVER	HT_UNDER	L_SDWALK	R_SDWALK	NUM_LANES	CROSSING	BRGY	MUN	ROAD_SEC_CLASS	ROUTE_NO	MaxBRHT	MaxPierHT
125.535575754688	8.92224672490856	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Mayor Democrito D. Plaza II Ave	B01670MN	Mandacpan Br.	96	reinforced_concrete	Year Known	2004	16.87	17			0.82	0.82	4	River	Villa Kananga	Butuan City	Secondary	951	6	3.5
125.603212960785	8.96207962307485	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B01722MN	Ampayon Br.	21	reinforced_concrete	Year Known	1958	19.23	17			1.24	1.24	4	River	Ampayon	Butuan City	Primary	1	4.91	
125.583698679388	8.94857260261702	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Mayor Democrito D. Plaza II Ave	B01668MN	Baan Br.	26	reinforced_concrete	Year Known	2004	17.6	20			0.8	0.8	4	River	Lemon	Butuan City	Secondary	951	6.97	
125.500559335232	8.94321060258683	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Butuan City-Cagayan de Oro City-Iligan City Road (Agusan-Misamis Or Rd)	B00880MN	Libertad Br.	35	steel	Year Known	1961	16.21	15		5.3	0.43	0.43	4	River	Libertad	Butuan City	Primary	9	5.3	4
125.573209031354	9.44991553058721	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B00826MN	Lambog Br.	24	reinforced_concrete	Year Known	2005	16.78	15			1	1	4		Poblacion	Kitcharao	Primary	1	3.07	2.03
125.604929583785	8.97452970557754	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B01721MN	Dalipdipan Br.	23	reinforced_concrete	Year Known	2013	16.78	20			0.78	0.78	4	River	Taguibo	Butuan City	Primary	1	4.5	
125.581409527294	9.06564890088992	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B01960MN	Humilog Br.	18	reinforced_concrete	Year Known	2018	16.9				0.67	0.67	4		Humilog	Remedios T. Romualdez	Primary	1	5.52	
125.412790485594	8.96970616247378	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Butuan City-Cagayan de Oro City-Iligan City Road (Agusan-Misamis Or Rd)	B00870MN	Matabao Br.	13	reinforced_concrete	Year Known	2007	16.8	20			0.77	0.77	4		Matabao	Buenavista	Primary	9	3.57	
125.56849276314	8.77950588158581	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Butuan City-Malaybalay Rd	B00891MN	Tungao FVR Br.	19	steel	Year Known	1999	9.2	15					2	River	Tungao	Butuan City	Tertiary		5	
125.58291895586	8.74293093672759	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Agusan-Malaybalay Rd	B00799MN	Lingayao Br.	41	steel	Year Known	1995	8.91	20			0.53	0.53	2	River	Lingayao	Las Nieves	Tertiary		7.72	6.18
