X	Y	REGION	PROVINCE	DEO	ROAD_NAME	BRIDGE_ID	BR_NAME	BR_LENGTH	BR_TYPE1	YR_CONST	ACTUAL_YR	BR_WIDTH	LOAD_LIMIT	HT_OVER	HT_UNDER	L_SDWALK	R_SDWALK	NUM_LANES	CROSSING	BRGY	MUN	ROAD_SEC_CLASS	ROUTE_NO	MaxBRHT	MaxPierHT
120.907031374741	13.9020761458053	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Talisay-Laurel-Agoncillo Rd	B00035LZ	Ayao-Iyao Br.	6	reinforced_concrete	Post 1970	1972	9.12	15			0.8	0.8	2	River	Ayao-iyao	Lemery	Tertiary		3.94	
121.074268590857	13.7924288294066	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Batangas-Quezon Rd	B03047LZ	Tingga Br.	8	reinforced_concrete	Year Known	1979	8.3	15			0.8	0.8	2	River	Tingga Itaas	Batangas City	Secondary	435	16.5	
121.071440873404	13.6304973399942	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Batangas-Tabangao-Lobo Rd	B03041LZ	Ilijan Br. 2	16	reinforced_concrete	Year Known	1990	9.5	10				0.8	2		Ilijan	Batangas City	Secondary	439		
120.937200975068	14.068989304887	Region Ⅳ-A	Batangas	Batangas 3rd District Engineering Office	Talisay-Laurel-Agoncillo Rd	B03171LZ	Leviste Br. 2	24	steel	Year Known	1990	8.29	15			0.76	0.75	2	River	Leviste	Laurel	Tertiary		4.75	
121.434599158977	13.6982594880253	Region Ⅳ-A	Batangas	Batangas 4th District Engineering Office	Sn Juan-Laiya Rd	B03112LZ	Bataan Br.	10	reinforced_concrete	Year Known	1999	9.22	15			0.56	0.6	2	River	Bataan	San Juan	Tertiary		5.2	
120.623822279271	14.1198482301029	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Ternate-Nasugbu Rd	B04376LZ	Natipuan Br. 2	15	reinforced_concrete	Year Known	2005	9.47	15			1.07	1.05	2	River	Natipuan	Nasugbu	Secondary	407	5.4	
121.001625239538	14.0851949538639	Region Ⅳ-A	Batangas	Batangas 3rd District Engineering Office	Talisay-Laurel-Agoncillo Rd	B03165LZ	Sta. Maria Br. 2	15	reinforced_concrete	Year Known	1968	6.73	15			0.45	0.45	2	River	Santa Maria	Talisay	Tertiary		5.5	
120.888651759446	13.9082292413011	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Palico-Balayan-Batangas Rd	B00048LZ	Matingain Br.	16	reinforced_concrete	1945-1970	1958	19.17	15			1.15	1.15	4	River	Matingain	Lemery	Secondary	436	6.41	
120.989902457712	13.7908130911779	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Bauan-Mabini Rd	B02923LZ	Roque Br.	56	reinforced_concrete	Year Known	1980	9.35	15			1.05	1.05	2	River	San Roque	Bauan	Tertiary		6.57	5.3
120.67800655067	13.9503838530458	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Balayan-Balibago Rd	B03050LZ	Tanggoy Br.	15	reinforced_concrete	Post 1970	1972	9.3	15			1	1	2	River	Tanggoy	Balayan	Secondary	409	6.26	
120.718218075879	14.028245243732	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Palico-Balayan-Batangas Rd	B00095LZ	Kaytitinga Br.	38	reinforced_concrete	Year Known	1968	9.3	15			1.1	1.2	2	River	Luntal	Tuy	Secondary	436	10.2	8.36
121.010313132754	14.0905835193683	Region Ⅳ-A	Batangas	Batangas 3rd District Engineering Office	Talisay-Laurel-Agoncillo Rd	B03162LZ	Banga Br. 3	7	reinforced_concrete	Year Known	1969	7.63	15					2	River	Banga	Talisay	Tertiary		4.08	
